glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kahiltna,479.521,2.5,4000.0,310,-0.8895938435467753,3.730554955260568,0.0874465400949479
kahiltna,479.521,2.5,3000.0,405,-1.0455613873333898,4.846028205529119,-0.06852100369166658
kahiltna,479.521,2.5,2200.0,605,-1.0150387192929815,5.110479161927804,-0.03799833565125832
kahiltna,479.521,2.5,1600.0,893,-0.9992694515365068,3.992139193589419,-0.022229067894783627
kahiltna,479.521,2.5,1200.0,1324,-0.9635084270880734,3.536679180509705,0.013531956553649804
kahiltna,479.521,2.5,900.0,2009,-0.9487527684459663,2.9413910110866874,0.028287615195756843
kahiltna,479.521,2.5,700.0,2917,-0.9809348478806493,2.0511007235563983,-0.003894464238926143
kahiltna,479.521,2.5,525.0,4752,-0.9731459194027972,1.32275692238517,0.003894464238926032
